,smiles
109,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4ccsc4)cs3)cccc12
110,O=c1cc(N2CCCCC2)oc2c(-c3ccccc3)cccc12
111,O=c1cc(N2CCOCC2)oc2cc(OCC3CCCCC3)ccc12
112,O=c1cc(N2CCCCC2)oc2c(-c3ccc(-c4ccc5[nH]ccc5c4)s3)cccc12
113,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4ccccc4)ccn3)cccc12
114,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4cccs4)ccn3)cccc12
115,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4ccsc4)ccn3)cccc12
116,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4cccnc4)ccn3)cccc12
117,O=c1cc(N2CCCCC2)oc2c(-c3cc(-c4ccoc4)ccn3)cccc12
118,Cc1[nH]nc2c1c(=O)n(CC(F)(F)CN)c1cc(C3CCCCC3)c(C3CCCCC3)cc21
119,Cc1[nH]nc2c1c(=O)n(CCCN)c1cc(C3CCCCC3)c(C3CCCCC3)cc21
120,CCNc1ncc2ccc(=O)n(CC)c2n1
121,CCn1c(=O)ccc2cnc(NC(C)(C)C)nc21
122,CCn1c(=O)ccc2cnc(NC(C)C)nc21
123,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1
124,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NCCNC(=O)OC(C)(C)C)nc3n2)CC1
125,CCN(CC)C(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
126,CN(C)CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
127,CC(C)N=C(N=c1[nH]c2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl)NC(C)C
128,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)Nc4cccc5ccccc45)nc3n2)CC1
129,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)Cc4ccccc4)nc3n2)CC1
130,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NS(=O)(=O)c4ccccc4)nc3n2)CC1
131,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=S)NC(C)(C)C)nc3n2)CC1
132,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(N)=O)nc3n2)CC1
133,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC(C)(C)C)nc3n2)CC1
134,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
135,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(N)nc3n2)CC1
136,CCCC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
137,CC(C)(C)NC(=O)Nc1nc2nc(NCCCN3CCOCC3)ncc2cc1-c1c(Cl)cccc1Cl
138,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCCCN3CCOCC3)nc21
139,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC45CC6CC(CC(C6)C4)C5)nc3n2)CC1
140,C=CCNC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
141,CC1CCCCN1CCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1
142,CN1CCN(CCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(NC(=O)NC4CCCCC4)nc3n2)CC1
143,CC(C)NC(=O)Nc1nc2nc(NCCCN3CCN(C)CC3)ncc2cc1-c1c(Cl)cccc1Cl
144,O=C1CCCN1CCCNc1ncc2ccn(-c3ccccn3)c2n1
145,COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCOCC4)nc3nc2NC(=O)NC(C)(C)C)c1
146,COc1cc(OC)cc(-c2cc3cnc(NCCCN4CCN(C)CC4)nc3nc2NC(=O)NC(C)(C)C)c1
147,Cc1cc(C)c(C)c(-c2cc3cnc(NCCCN4CCN(C)CC4)nc3nc2NC(=O)NC(C)(C)C)c1C
148,O=C(Nc1ccccc1Cl)c1cnn2ccc(N3CCCCC3)cc12
149,c1ccc(COc2cccc3[nH]nc(-c4nc5cc(N6CCC(N7CCCCC7)CC6)ccc5[nH]4)c23)cc1
150,COc1cc2[nH]nc(-c3nc4cc(N5CCC(N6CCCCC6)CC5)ccc4[nH]3)c2cc1OCc1ccccc1
151,c1ccc(COc2cccc3c(-c4nc5cc(N6CCC(N7CCCCC7)CC6)ccc5[nH]4)[nH]nc23)cc1
152,NC(COc1cncc(-c2ccc3cnc(Cl)cc3c2)c1)Cc1c[nH]c2ccccc12
153,CCN(C)C(=O)c1ccc2c(C(=NC3CCCCC3)c3ccccc3)c(O)[nH]c2c1
154,COc1cc2c(N3CCN(C(=S)NCc4ccc(C)nc4Cl)CC3)ncnc2cc1OCCN1CCCCC1
155,Cc1cn2c(-c3cn[nH]c3)cnc2c(Nc2cc(CN3CCCCC3)ns2)n1
157,O=c1cc(N2CCOCC2)[nH]c(Cc2nc3ccccc3n2C2CCCCC2)n1
158,Cc1cccc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C
159,Cc1cc(F)ccc1NCc1cc(C(=O)O)cc(N2CCCCC2)n1
160,COc1cc2c(cc1OC)CN(c1cc[n+](Cc3ccc(C[n+]4ccc(N5CCCCC5)cc4)cc3)cc1)CC2
161,O=C(C=Cc1ccc(O)c(O)c1)c1ccc(S(=O)(=O)N2CCCCCC2)cc1
162,Brc1ccc2cnc(Nc3ccncn3)cc2c1
163,O=S(=O)(c1ccc(N=Cc2cc(Br)ccc2O)cc1)N1CCCCC1
164,O=c1[nH]c2ccc(Br)cc2cc1-c1cc2cc(CN3CCCCC3)ccc2[nH]1
165,O=c1c2ccc(Br)cc2c(-c2ccccc2)c(CO)n1CC1CCCCC1
166,O=c1[nH]c(CN2CCCCC2)nc2c1oc1ccc(Br)cc12
167,CNc1nc(-c2ccc3c(N)[nH]nc3c2)cc(N2CC(C(=O)NC3CCCCC3)OCC2C)n1
168,CC(Nc1nccc(-c2c(-c3ccc(F)cc3)c(=O)n3n2CCC3)n1)C1CCCCC1
169,O=C(O)C(C(=O)O)C1CCCCC1
170,O=[PH](=O)(O)C(O)C1CCCCC1
171,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
172,COCCOc1cc2ncnc(NC3=CC(=O)C(N4CCCCC4)=CC3=O)c2cc1OC
173,Clc1cc(-c2c[nH]c3ncccc23)cc(NC2CCCCC2)n1
174,COc1cc2c(cc1OCCN1CCCCC1)-c1[nH]nc(-c3ccc(OCC(C)=O)cc3)c1C2
175,COc1cc2c(cc1OCCN1CCCCC1)-c1[nH]nc(-c3ccc(-c4ccc(O)cc4)cc3)c1C2
176,N#Cc1cnn2c1nc(N1CCCCC1)c1ccccc12
177,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
178,CCCn1c(NC(=O)c2cccs2)nc2cc(C(=O)N(C)C3CCCCC3)ccc21
179,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCO)C1CCCCC1
180,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN)C1CCCCC1
181,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCO)C1CCCCC1
182,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCCC(N)=O)C1CCCCC1
183,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCc1ccccc1)C1CCCCC1
184,CNC(=O)CCn1c(NC(=O)c2cccs2)nc2cc(C(=O)N(C)C3CCCCC3)ccc21
185,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN
186,CCOC(=O)CCn1c(NC(=O)c2cccs2)nc2cc(C(=O)N(C)C3CCCCC3)ccc21
187,CN(C)CCCNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12
188,CN(C)c1cc(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)cc(N(C)C)c1
189,CN(c1nccc(-c2cnc3ccccn23)n1)C1CCCCC1
190,CN(C)CCn1c(=O)ccc2cnc3ccc(-c4cnc5ccccc5c4)cc3c21
191,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(CC(=O)c1ccc(Cl)cc1)n2CCc1ccccc1
192,CN(Cc1cc(Cl)c(O)c2ncccc12)C1CCCCC1
193,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCC(N)=O)C1CCCCC1
194,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCC(N)=O
195,CN(C(=O)c1ccccc1)c1ccc2c(c1)nc(NC(=O)c1ccc(N3CCCCC3)s1)n2CCC(N)=O
196,Cc1cccc(C(=O)Nc2nc3cc(N(C)C(=O)C4CCCCC4)ccc3n2CCC(N)=O)c1
197,NC(=O)CCn1c(NC(=O)c2ccccc2)nc2cc(C(=O)N(C3CCCCC3)C3CCCCC3)ccc21
198,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccc(F)c1)n2CCC(N)=O)C1CCCCC1
199,COc1cccc(C(=O)Nc2nc3cc(N(C)C(=O)C4CCCCC4)ccc3n2CCC(N)=O)c1
200,Cc1ccccc1C(=O)Nc1nc2cc(C(=O)N(C)C3CCCCC3)ccc2n1CCC(N)=O
201,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1ccccc1)n2CCC(N)=O)C1CCCCC1
202,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccc(Br)c1)n2CCC(N)=O
203,Cc1ccccc1C(=O)Nc1nc2cc(N(C)C(=O)C3CCCCC3)ccc2n1CCC(N)=O
204,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccccc1)n2CCC(N)=O
205,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccncc1)n2CCC(N)=O
206,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccco1)n2CCC(N)=O
207,CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccno1)n2CCC(N)=O
208,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cnco1)n2CCC(N)=O)C1CCCCC1
209,CCN(C(=O)c1ccc2c(c1)nc(NC(=O)c1ccccc1)n2CCC(N)=O)C1CCCCC1
210,C=CCN(C(=O)c1ccc2c(c1)nc(NC(=O)c1ccccc1)n2CCC(N)=O)C1CCCCC1
211,CN(c1ncccc1CNc1c(C#N)cnc2[nH]c(C3CCCCC3)cc12)S(C)(=O)=O
212,CSc1ncc2cc(-c3ccccc3)c(-c3ccc(CN(C)CCc4cn[nH]c4)cc3)nc2n1
213,CN(C)CCCN(C)C(=O)C1Cc2[nH]cnc2C2(CCCCC2)N1
214,CN(C)CCn1cc(-c2ccnc(NC3CCCCC3)n2)c2cccnc21
215,CCN(CC)CCCNc1ncc2cc(-c3c(Br)cccc3Br)c(NC(=O)NC(C)(C)C)nc2n1
216,CCN(CC)CCOc1ccc(C)c(-c2cc3cnc(N)nc3nc2NC(=O)NC(C)(C)C)c1C
217,CN(C)CCOc1ccc(-c2[nH]c3ncnc(N=CC4CCCO4)c3c2C2CCCCC2)cc1
218,CCN(CC)CCCNc1ncc2cc(-c3c(Br)cccc3Br)c(N)nc2n1
219,CN(C)c1ccc(-c2cc(C3CCCCC3)c3c(N)ncnc3n2)cc1
220,CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3cccc(Br)c3)c2C2CCCCC2)cn1
221,CCN(CC)CCCCNc1ncc2cc(-c3cc(OC)cc(OC)c3)c(NC(=O)NC(C)(C)C)nc2n1
222,CN(C(=O)c1ccc2nc(NC(=O)c3cccs3)n(CCCN)c2c1)C1CCCCC1
223,CC(C)C(C=CC1CC(CO)(COC(=O)C2CCCCC2)OC1=O)C(C)C
225,CCN(CC)C(=O)C1CCC(n2c(NC(=O)c3ccccc3)nc3ccc(CN4CCCCC4)cc32)CC1
226,CS(=O)(=O)N(c1ccc(Nc2ncc3cnn(C4CCCCCC4)c3n2)nc1)S(C)(=O)=O
227,CN(Cc1ccc2c(c1)nc(NC(=O)c1ccc(-c3cn[nH]c3)s1)n2CC(C)(C)O)C1CCCCC1
228,CN(Cc1ccc2c(c1)nc(NC(=O)c1ccno1)n2CCCn1ccnc1)C1CCCCC1
229,COCCCn1c(NC(=O)c2ccno2)nc2cc(CN(C)C3CCCCC3)ccc21
230,COCCCn1c(NC(=O)c2cccc(Br)c2)nc2cc(CN(C)C3CCCCC3)ccc21
231,COCCCn1c(NC(=O)c2ccncc2)nc2cc(CN(C)C3CCCCC3)ccc21
232,Cc1ncc2ccccc2c1-c1nc(N2CCOCC2)c2sc(CN3CCC(N(C)C)CC3)cc2n1
233,CCn1c(=O)ccc2cnc(N(C)c3ccccc3)nc21
234,CCN(CC)CCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3ccccc3)cc2cn1
235,CCN(CC)CCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1
236,CCN(CC)CCCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1
237,CCN(CC)CCCCNc1cc2nc(NC(=O)NC(C)(C)C)c(-c3cc(OC)cc(OC)c3)cc2cn1
238,CCN(CC)CCCNc1ncc2cc(-c3c(C)cccc3C)c(NC(=O)NC(C)(C)C)nc2n1
239,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCCC4)cc3OC)nc2N1C1CCCC1
240,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
241,CN(C(=O)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCC(N)=O)C1CCCCC1
242,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1
243,CCN(c1ncc(C(N)=O)c2[nH]c3ccc(F)cc3c12)C1CCCCC1
244,CN(c1nc(Cl)nc2c1ncn2C)C1CCCCC1
245,CCC(NC(=O)C(Cc1ccc(O[PH](=O)(=O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1
246,CCC(NC(=O)C(Cc1ccc(C(F)(F)[PH](=O)(=O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1
247,CCC(NC(=O)C(Cc1ccc([PH](=O)(=O)O)cc1)NC(C)=O)C(=O)N(C)CCCC1CCCCC1
248,CCN(CC)CC1CCN(c2ccc(Nc3nc(NC4CCCCC4)c4[nH]cnc4n3)c(OC)c2)CC1
249,O=NN(CCCl)C(=O)NC1CCCCC1
250,CN(c1ncnc2[nH]ccc12)C1CCCCCCC1
251,CN(c1ncnc2[nH]ccc12)C1CCCCCC1
252,CN(c1ncnc2[nH]ccc12)C1CCCCC1
253,CCN(CC)CCCNc1ncc2cc(-c3c(C)cccc3C)c(N)nc2n1
254,CC(C)(O)Cn1c(NC(=O)c2ccc(-c3cn[nH]c3)s2)nc2cc(CN3CCCCC3)ccc21
255,C=COCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1
257,Clc1ccc(-c2cc(C3CCCCC3)c(-c3ccncc3)[nH]2)cc1
258,O=C(Nc1ncc(CCNc2ncnc3ccsc23)s1)NC1CCCCC1
259,CC(CN1CCCCC1)OC(=O)C1CCCN1C(=O)C(=O)C(C)(C)C
260,CC(CN1CCCCC1)OC(=O)C1CCCN1C(=O)C(=O)c1ccccc1
261,CC(C)CC(=O)C(=O)N1CCCC1C(=O)OC(C)CN1CCCCC1
262,O=c1[nH]c2ccc(-n3nccn3)cc2cc1-c1cc2cc(CN3CCCCC3)ccc2[nH]1
263,BrC(Cn1ncc2c(NC3CCCCC3)ncnc21)c1ccccc1
264,ClC(Cn1ncc2c(NC3CCCCC3)ncnc21)c1ccccc1
265,O=C1NCC2(CCCCC2)c2sc(Cl)cc21
266,Oc1ccc2c(O)c(C=C3C=Nc4ccccc43)oc2c1CN1CCCCCC1
267,N#Cc1c(-c2ccc(C(=O)NCCN3CCCCC3)cc2)cc(-c2ccccc2O)nc1N
268,O=C(Nc1ccccc1-c1nc2ccccc2[nH]c1=O)C1CCCCC1
269,CN(C(=O)c1cc2c(s1)-c1ccccc1OCC2)C1CCCCC1
270,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(NC3CCOCC3)nc21
271,O=C1C=C(N2CCCCC2)c2ccccc2C1=O
272,CN(C)CCN(C)C1COc2ccccc2-c2c(C3CCCCC3)c3ccc(C(=O)O)cc3n2C1
273,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)C1CCCCC1
274,Cc1ccccc1-c1cc2cnc(N)nc2nc1NC(=O)NC(C)(C)C
